brand,category,product_type,skin_type,sensitivity,rating,price,product
Estee Lauder,Makeup,Concealer,Dry,Yes,3.7,69.57,Estee Lauder Concealer Edition E3
Clinique,Makeup,Concealer,Normal,Yes,1.3,94.86,Clinique Concealer Edition E3
Dior,Skincare,Concealer,Normal,No,4.8,33.1,Dior Concealer Edition B8
Sephora,Skincare,Concealer,Normal,Yes,4.4,5.11,Sephora Concealer Edition C2
Estee Lauder,Makeup,Sunscreen,Dry,No,4.2,30.84,Estee Lauder Sunscreen SPF100 Edition C2
NARS,Skincare,Foundation,Oily,Yes,4.3,25.7,NARS Foundation Edition E6
MAC,Skincare,Face Powder,Oily,Yes,4.7,67.87,MAC Face Powder Edition D2
Estee Lauder,Skincare,Body Lotion,Oily,No,3.2,65.2,Estee Lauder Body Lotion Edition E7
Dior,Skincare,Face Powder,Dry,Yes,1.8,61.38,Dior Face Powder Edition B8
Sephora,Skincare,Face Powder,Oily,Yes,3.5,6.54,Sephora Face Powder Edition D7
Clinique,Makeup,Face Cream,Dry,No,4,74.23,Clinique Face Cream Edition D9
Dior,Skincare,Foundation,Oily,Yes,4,35.74,Dior Foundation Edition E5
Dior,Makeup,Face Cream,Oily,No,3.1,68.18,Dior Face Cream Edition C4
MAC,Skincare,Foundation,Normal,Yes,1.3,57.87,MAC Foundation Edition E9
Revlon,Makeup,Foundation,Dry,Yes,2.5,37.56,Revlon Foundation Edition E2
Sephora,Skincare,Concealer,Normal,Yes,4.7,17.78,Sephora Concealer Edition B8
L'Oreal,Makeup,Sunscreen,Normal,Yes,3.3,13.97,L'Oreal Sunscreen SPF70 Edition D3
Dior,Skincare,Concealer,Normal,Yes,3.2,83.99,Dior Concealer Edition E6
Revlon,Makeup,Sunscreen,Dry,Yes,2.1,92.25,Revlon Sunscreen SPF50 Edition A4
L'Oreal,Skincare,Face Cream,Dry,Yes,2.5,66.73,L'Oreal Face Cream Edition D5
Sephora,Makeup,Sunscreen,Oily,Yes,4.6,14.83,Sephora Sunscreen SPF100 Edition E5
Maybelline,Skincare,Face Cream,Normal,No,3.7,43.19,Maybelline Face Cream Edition E1
NARS,Makeup,Face Powder,Oily,No,4.1,74.25,NARS Face Powder Edition C7
Revlon,Makeup,Face Powder,Normal,Yes,2.8,79.08,Revlon Face Powder Edition E7
Lancome,Skincare,Sunscreen,Dry,Yes,3.5,16.23,Lancome Sunscreen SPF100 Edition C4
Maybelline,Skincare,Sunscreen,Dry,No,2,5,Maybelline Sunscreen SPF70 Edition B9
NARS,Makeup,Face Cream,Dry,Yes,3.8,72.65,NARS Face Cream Edition D5
MAC,Skincare,Concealer,Normal,Yes,2.7,38.88,MAC Concealer Edition A9
Estee Lauder,Makeup,Face Cream,Dry,No,2.8,29.18,Estee Lauder Face Cream Edition D5
Clinique,Makeup,Concealer,Normal,Yes,3.6,6.23,Clinique Concealer Edition D6
Lancome,Makeup,Face Powder,Oily,Yes,4.7,56.33,Lancome Face Powder Edition D8
MAC,Skincare,Foundation,Normal,No,1.3,85.86,MAC Foundation Edition C5
Sephora,Makeup,Sunscreen,Oily,Yes,4.3,95.98,Sephora Sunscreen SPF100 Edition B2
MAC,Makeup,Concealer,Normal,Yes,2.2,58.75,MAC Concealer Edition B6
Estee Lauder,Skincare,Face Cream,Oily,No,2.8,53.87,Estee Lauder Face Cream Edition D5
Sephora,Skincare,Face Powder,Dry,Yes,1.1,13.08,Sephora Face Powder Edition A7
Lancome,Skincare,Concealer,Oily,No,2.2,57.14,Lancome Concealer Edition A8
Estee Lauder,Skincare,Face Cream,Dry,Yes,3,41.1,Estee Lauder Face Cream Edition E3
L'Oreal,Makeup,Sunscreen,Dry,Yes,1.2,62.68,L'Oreal Sunscreen SPF100 Edition B9
Clinique,Makeup,Sunscreen,Oily,No,3,41.93,Clinique Sunscreen SPF50 Edition E3
Lancome,Makeup,Body Lotion,Normal,No,4.7,27.83,Lancome Body Lotion Edition B6
L'Oreal,Makeup,Foundation,Normal,Yes,1.4,14.02,L'Oreal Foundation Edition D2
NARS,Skincare,Body Lotion,Normal,No,4.1,34.92,NARS Body Lotion Edition D9
Lancome,Makeup,Face Powder,Normal,No,2.6,14.18,Lancome Face Powder Edition D2
NARS,Makeup,Concealer,Normal,Yes,3.6,21.81,NARS Concealer Edition D5
Sephora,Skincare,Face Powder,Dry,Yes,2,98.8,Sephora Face Powder Edition C9
L'Oreal,Makeup,Face Cream,Normal,Yes,1.6,47.19,L'Oreal Face Cream Edition E5
Clinique,Makeup,Sunscreen,Dry,No,1.6,55.53,Clinique Sunscreen SPF15 Edition B3
Estee Lauder,Makeup,Body Lotion,Dry,No,1.3,87.99,Estee Lauder Body Lotion Edition B9
Dior,Makeup,Body Lotion,Dry,No,1.7,99.58,Dior Body Lotion Edition D9
MAC,Makeup,Body Lotion,Oily,No,3.7,60.36,MAC Body Lotion Edition E2
Maybelline,Makeup,Face Powder,Oily,Yes,4.5,82.19,Maybelline Face Powder Edition D4
Clinique,Skincare,Sunscreen,Dry,No,4.3,36.06,Clinique Sunscreen SPF30 Edition E2
L'Oreal,Skincare,Concealer,Oily,Yes,3.7,34.05,L'Oreal Concealer Edition A7
Dior,Makeup,Face Cream,Normal,No,1.4,43.26,Dior Face Cream Edition B1
Clinique,Makeup,Concealer,Normal,Yes,2.2,68.89,Clinique Concealer Edition C8
L'Oreal,Skincare,Face Powder,Dry,Yes,2.2,69.81,L'Oreal Face Powder Edition C6
Revlon,Makeup,Face Cream,Normal,Yes,2,34.95,Revlon Face Cream Edition B1
Revlon,Makeup,Body Lotion,Dry,No,3.1,17.65,Revlon Body Lotion Edition D1
NARS,Makeup,Foundation,Dry,Yes,3.1,65.08,NARS Foundation Edition C9
Clinique,Skincare,Face Powder,Normal,Yes,2.4,17.19,Clinique Face Powder Edition D7
Revlon,Makeup,Face Powder,Oily,No,2.4,59.96,Revlon Face Powder Edition B1
L'Oreal,Skincare,Sunscreen,Normal,Yes,4.3,70.88,L'Oreal Sunscreen SPF15 Edition C2
NARS,Makeup,Concealer,Normal,No,4.2,71.56,NARS Concealer Edition D9
L'Oreal,Skincare,Face Powder,Dry,No,2.2,76.58,L'Oreal Face Powder Edition E4
